Date,Grand Prix,Venue
20 March,Bahrain,Sakhir
27 March,Saudi Arabia,Jeddah
10 April,Australia,Melbourne
24 April,Emilia Romagna,Imola
8 May,Miami,Miami
22 May,Spain,Barcelona
29 May,Monaco,Monaco
12 June,Azerbaijan,Baku
19 June,Canada,Montreal
3 July,United Kingdom,Silverstone
10 July,Austria,Spielberg
24 July,France,Le Castellet
31 July,Hungary,Budapest
28 August,Belgium,Spa
4 September,Netherlands,Zandvoort
11 September,Italy,Monza
2 October,Singapore,Singapore
9 October,Japan,Suzuka
23 October,USA,Austin
30 October,Mexico,Mexico City
13 November,Brazil,Sao Paulo
20 November,Abu Dhabi,Abu Dhabi